area_marla,bedroom,bath,type_enc,purpose_enc,city_enc,price_lakh
14.2,6.0,6.0,2,1,6,600.0
20.0,8.0,7.0,2,1,6,700.0
8.0,4.0,6.0,2,1,6,265.0
2.4,1.0,1.0,1,1,6,40.0
2.3,1.0,1.0,1,1,6,72.0
5.3,1.0,2.0,2,1,6,70.0
20.0,6.0,6.0,2,1,6,1170.0
7.0,4.0,4.0,2,1,6,580.0
14.2,6.0,6.0,2,1,6,600.0
20.0,6.0,6.0,2,1,6,1050.0
20.0,6.0,6.0,2,1,6,1170.0
5.2,2.0,3.0,1,1,6,340.0
8.0,5.0,5.0,2,1,6,370.0
5.0,3.0,4.0,2,1,6,165.0
8.0,4.0,4.0,2,1,6,300.0
10.0,5.0,6.0,2,1,6,450.0
9.8,3.0,3.0,1,1,6,270.0
20.0,6.0,6.0,2,1,6,1150.0
20.0,7.0,7.0,2,1,6,1150.0
20.0,6.0,6.0,2,1,6,1150.0
14.2,6.0,6.0,2,1,6,1050.0
6.4,2.0,2.0,1,1,6,254.99999999999997
20.0,5.0,7.0,2,1,6,1175.0
10.0,5.0,6.0,2,1,6,415.00000000000006
8.0,5.0,5.0,2,1,6,430.0
20.0,4.0,5.0,2,1,6,670.0
8.0,4.0,5.0,2,1,6,295.0
24.0,6.0,6.0,2,1,6,800.0
17.2,6.0,6.0,2,1,6,650.0
10.0,4.0,5.0,2,1,6,590.0
10.0,9.0,6.0,2,1,6,900.0
12.0,5.0,6.0,2,1,6,480.0
5.0,4.0,5.0,2,1,6,229.99999999999997
7.0,4.0,5.0,2,1,6,295.0
8.0,5.0,6.0,2,1,6,400.0
20.0,6.0,7.0,2,1,6,1200.0
8.0,5.0,5.0,2,1,6,700.0
5.0,2.0,3.0,2,1,6,125.0
7.0,4.0,5.0,2,1,6,600.0
20.0,6.0,6.0,2,1,6,1050.0
8.0,5.0,5.0,2,1,6,315.0
2.7,1.0,1.0,1,1,6,50.0
10.9,7.0,7.0,2,1,6,800.0
6.9,2.0,2.0,1,1,6,150.0
6.2,2.0,2.0,1,1,6,200.0
10.0,5.0,6.0,2,1,6,459.99999999999994
5.7,2.0,2.0,1,1,6,114.99999999999999
12.4,4.0,3.0,1,1,6,400.0
5.0,3.0,4.0,2,1,6,245.00000000000003
20.0,8.0,6.0,2,1,6,725.0
5.0,3.0,3.0,2,1,6,155.0
4.0,3.0,5.0,2,1,6,425.0
8.0,6.0,6.0,2,1,6,380.0
20.0,6.0,7.0,2,1,6,990.0
8.0,5.0,6.0,2,1,6,350.0
5.0,2.0,2.0,1,1,6,169.0
10.9,6.0,6.0,2,1,6,770.0
7.0,6.0,7.0,2,1,6,265.0
20.0,9.0,7.0,2,1,6,725.0
20.0,6.0,6.0,2,1,6,1050.0
4.0,2.0,2.0,1,1,6,110.00000000000001
12.0,6.0,6.0,2,1,6,484.99999999999994
10.0,5.0,6.0,2,1,6,525.0
5.0,5.0,5.0,2,1,6,260.0
3.8,2.0,2.0,1,1,6,105.0
5.0,3.0,3.0,2,1,6,210.0
14.0,6.0,6.0,2,1,6,1100.0
17.8,4.0,4.0,1,1,6,700.0
20.0,5.0,6.0,2,1,6,1150.0
10.0,6.0,6.0,2,1,6,470.0
8.0,5.0,7.0,2,1,6,825.0
4.0,4.0,3.0,2,1,6,330.0
20.0,6.0,6.0,2,1,6,1150.0
8.0,6.0,6.0,2,1,6,360.0
7.1,2.0,2.0,1,1,6,315.0
20.0,7.0,6.0,2,1,6,1100.0
20.0,6.0,6.0,2,1,6,1075.0
4.8,1.0,2.0,1,1,6,100.0
14.2,8.0,6.0,2,1,6,1080.0
7.0,5.0,5.0,2,1,6,295.0
20.0,6.0,6.0,2,1,6,815.0
20.0,6.0,6.0,2,1,6,749.0
7.1,2.0,3.0,1,1,6,145.0
20.0,5.0,6.0,2,1,6,975.0
7.3,3.0,3.0,1,1,6,142.0
20.0,7.0,7.0,2,1,6,1025.0
10.0,5.0,7.0,2,1,6,525.0
8.0,5.0,6.0,2,1,6,263.0
20.0,6.0,7.0,2,1,6,1160.0
4.7,1.0,1.0,1,1,6,560.0
6.9,3.0,3.0,1,1,6,204.99999999999997
4.0,4.0,4.0,2,1,6,400.0
20.0,6.0,6.0,2,1,6,1150.0
10.0,7.0,6.0,2,1,6,570.0
5.0,6.0,6.0,2,1,6,240.0
10.5,6.0,6.0,2,1,6,600.0
2.3,1.0,1.0,1,1,6,75.0
4.4,4.0,5.0,2,1,6,390.0
6.7,5.0,5.0,2,1,6,270.0
20.0,5.0,6.0,2,1,6,1150.0
12.0,8.0,6.0,2,1,6,1070.0
9.8,2.0,2.0,1,1,6,125.0
20.0,6.0,6.0,2,1,6,1150.0
5.0,3.0,4.0,2,1,6,190.0
7.0,4.0,5.0,2,1,6,434.99999999999994
8.0,6.0,6.0,2,1,6,440.00000000000006
7.0,5.0,7.0,2,1,6,550.0
